,Num_DRS,DRS,Num_GVE,GVE,Num_Região_Saúde,RegiãodeSaúde,Município,SE01,SE02,SE03,SE04,SE05,SE06,SE07,SE08,SE09,SE10,SE11,SE12,SE13
367,15,São José do Rio Preto,XXIX,SÃO JOSÉ DO RIO PRETO,35155,SÃO JOSÉ DO RIO PRETO,353280 Nova Aliança,0,0,0,0,0,0,0,0,0,0,0,0,0
368,16,Sorocaba,XXXII,ITAPEVA,35162,ITAPEVA,353282 Nova Campina,0,0,0,0,0,0,0,0,0,0,0,0,0
369,15,São José do Rio Preto,XXX,JALES,35152,SANTA FÉ DO SUL,353284 Nova Canaã Paulista,0,0,0,0,0,0,0,0,0,0,0,0,0
370,2,Araçatuba,XI,ARAÇATUBA,35021,CENTRAL DO DRS II,353286 Nova Castilho,0,0,0,0,0,0,0,0,0,0,0,0,0
371,3,Araraquara,XII,ARARAQUARA,35032,CENTRO OESTE DO DRS III,353290 Nova Europa,0,0,0,0,0,0,0,0,0,0,0,0,0
372,15,São José do Rio Preto,XXIX,SÃO JOSÉ DO RIO PRETO,35155,SÃO JOSÉ DO RIO PRETO,353300 Nova Granada,0,0,0,0,0,0,0,0,0,0,0,0,0
373,11,Presidente Prudente,XXII,PRESIDENTE VENCESLAU,35111,ALTA PAULISTA,353310 Nova Guataporanga,0,0,0,0,0,0,0,0,0,0,0,0,0
374,2,Araçatuba,XI,ARAÇATUBA,35022,LAGOS DO DRS II,353320 Nova Independência,0,0,0,0,0,0,0,0,0,0,0,0,0
375,15,São José do Rio Preto,XXIX,SÃO JOSÉ DO RIO PRETO,35151,CATANDUVA,353325 Novais,0,0,0,0,0,0,0,0,0,0,0,0,0
376,2,Araçatuba,XI,ARAÇATUBA,35021,CENTRAL DO DRS II,353330 Nova Luzitânia,0,0,0,0,0,0,0,0,0,0,0,0,0
377,7,Campinas,XVII,CAMPINAS,35072,REG METRO CAMPINAS,353340 Nova Odessa,0,0,0,0,0,0,0,0,0,0,0,0,0
378,15,São José do Rio Preto,XXIX,SÃO JOSÉ DO RIO PRETO,35151,CATANDUVA,353350 Novo Horizonte,0,0,0,0,0,0,0,0,0,0,0,0,0
379,8,Franca,XVIII,FRANCA,35082,ALTA ANHANGUERA,353360 Nuporanga,0,0,0,0,0,0,0,0,0,0,0,0,0
380,9,Marília,XIX,MARÍLIA,35093,MARÍLIA,353370 Ocauçu,0,0,0,0,0,0,0,0,0,0,0,0,0
381,9,Marília,XIII,ASSIS,35094,OURINHOS,353380 Óleo,0,0,0,0,0,0,0,0,0,0,0,0,0
