,Num_DRS,DRS,Num_GVE,GVE,Num_Região_Saúde,RegiãodeSaúde,Num_Municipio
48,2,Araçatuba,XI,ARAÇATUBA,35021,CENTRAL DO DRS II,350420
49,6,Bauru,XV,BAURU,35062,BAURU,350430
50,2,Araçatuba,XI,ARAÇATUBA,35023,CONSÓRCIOS DO DRS II,350440
51,6,Bauru,XVI,BOTUCATU,35061,VALE DO JURUMIRIM,350450
52,15,São José do Rio Preto,XXIX,SÃO JOSÉ DO RIO PRETO,35155,SÃO JOSÉ DO RIO PRETO,350460
53,6,Bauru,XV,BAURU,35062,BAURU,350470
54,15,São José do Rio Preto,XXIX,SÃO JOSÉ DO RIO PRETO,35155,SÃO JOSÉ DO RIO PRETO,350480
55,17,Taubaté,XXXIII,TAUBATÉ,35172,CIRCUITO DA FÉ - VALE HISTÓRICO,350490
56,6,Bauru,XVI,BOTUCATU,35061,VALE DO JURUMIRIM,350500
57,2,Araçatuba,XI,ARAÇATUBA,35023,CONSÓRCIOS DO DRS II,350510
58,6,Bauru,XV,BAURU,35064,JAU,350520
59,6,Bauru,XV,BAURU,35064,JAU,350530
60,16,Sorocaba,XXXII,ITAPEVA,35162,ITAPEVA,350535
61,12,Registro,XXIII,REGISTRO,35121,VALE DO RIBEIRA,350540
62,5,Barretos,XIV,BARRETOS,35051,NORTE-BARRETOS,350550
63,13,Riberão Preto,XXIV,RIBEIRÃO PRETO,35131,HORIZONTE VERDE,350560
64,1,São Paulo,X,OSASCO,35014,ROTA DOS BANDEIRANTES,350570
65,9,Marília,XIX,MARÍLIA,35095,TUPÃ,350580
66,13,Riberão Preto,XXIV,RIBEIRÃO PRETO,35133,VALE DAS CACHOEIRAS,350590
67,6,Bauru,XV,BAURU,35062,BAURU,350600
68,5,Barretos,XIV,BARRETOS,35052,SUL-BARRETOS,350610
69,2,Araçatuba,XI,ARAÇATUBA,35021,CENTRAL DO DRS II,350620
70,9,Marília,XIII,ASSIS,35094,OURINHOS,350630
