,Municipio,SE01,SE02,SE03,SE04,SE05,SE06,SE07,SE08,SE09,SE10,SE11,SE12,SE13
281,Jales,0,0,0,0,0,0,0,0,0,0,0,0,1
282,Jambeiro,0,0,0,0,0,0,0,0,0,0,0,0,0
283,Jandira,0,0,0,1,0,0,0,0,2,1,0,0,0
284,Jardinópolis,0,0,0,0,0,0,0,0,0,0,0,0,0
285,Jarinu,0,0,0,0,0,0,0,0,0,0,0,0,0
286,Jaú,0,0,0,0,0,0,0,0,0,0,0,0,0
287,Jeriquara,0,0,0,0,0,0,0,0,0,0,0,0,0
288,Joanópolis,0,0,0,0,0,0,0,0,0,0,0,0,0
289,João Ramalho,0,0,0,0,0,0,0,0,0,0,0,0,0
290,José Bonifácio,0,0,0,0,0,0,0,0,0,0,0,0,0
291,Júlio Mesquita,0,0,0,0,0,0,0,0,0,0,0,0,0
292,Jumirim,0,0,0,0,0,0,0,0,0,0,0,0,0
293,Jundiaí,0,0,0,0,0,0,0,0,0,0,0,0,0
294,Junqueirópolis,0,0,0,0,0,0,0,0,0,0,0,0,0
295,Juquiá,0,0,0,0,0,0,0,0,0,0,0,0,0
296,Juquitiba,0,0,0,0,0,0,0,0,0,0,0,0,0
297,Lagoinha,0,0,0,0,0,0,0,0,0,0,0,0,0
298,Laranjal Paulista,0,0,0,0,0,0,0,0,0,0,0,0,0
299,Lavínia,0,0,0,0,0,0,0,0,0,0,0,0,0
300,Lavrinhas,0,0,0,0,0,0,0,0,0,0,0,0,0
301,Leme,0,0,0,0,0,0,0,0,0,0,0,0,0
302,Lençóis Paulista,0,0,0,0,0,0,0,0,0,0,0,0,0
303,Limeira,0,0,0,0,0,0,0,1,0,0,0,0,0
304,Lindóia,0,0,0,0,0,0,0,0,0,0,0,0,0
305,Lins,0,0,0,0,0,0,0,0,0,0,0,0,0
306,Lorena,0,0,0,0,0,0,0,0,0,0,0,0,0
307,Lourdes,0,0,0,0,0,0,0,0,0,0,0,0,0
308,Louveira,0,0,0,0,0,0,0,0,0,0,0,0,0
309,Lucélia,0,0,0,0,0,0,0,0,0,0,0,0,0
310,Lucianópolis,0,0,0,0,0,0,0,0,0,0,0,0,0
311,Luís Antônio,0,0,0,0,0,0,0,0,0,0,0,0,0
312,Luiziânia,0,0,0,0,0,0,0,0,0,0,0,0,0
313,Lupércio,0,0,0,0,0,0,0,0,0,0,0,0,0
314,Lutécia,0,0,0,0,0,0,0,0,0,0,0,0,0
315,Macatuba,0,0,0,0,0,0,0,0,0,0,0,0,0
316,Macaubal,0,0,0,0,0,0,0,0,0,0,0,0,0
317,Macedônia,0,0,0,0,0,0,0,0,0,0,0,0,0
318,Magda,0,0,0,0,0,0,0,0,0,0,0,0,0
319,Mairinque,0,0,0,0,0,0,0,0,0,0,0,0,0
320,Mairiporã,0,0,0,0,0,0,0,0,0,0,0,0,0
321,Manduri,0,0,0,0,0,0,0,0,0,0,0,0,0
322,Marabá Paulista,0,0,0,0,0,0,0,0,0,0,0,0,0
323,Maracaí,0,0,0,0,0,0,0,0,0,0,0,0,0
